Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,
Zestoria,泽斯托里亚,Zestoria,澤斯托里亞,Зестория,Zestoria,Zestoria,Zestoria,ゼストリア,Zestoria,Zestoria,Zestoria,Zestoria,제스토리아,
Vortexus,沃特克萨斯,Vortexus,沃特克薩斯,Вортексус,Vortexus,Vortexus,Vortexus,ボルテクサス,Vortexus,Vortexus,Vortexus,Vortexus,보르텍수스,
Luminos,卢米诺斯,Luminos,盧米諾斯,Люминус,Luminos,Luminos,Luminos,ルミノス,Luminos,Luminos,Luminos,Luminos,루미노스,
Celestia,塞莱斯提亚,Celestia,塞萊斯提亞,Селестия,Celestia,Celestia,Celestia,セレスタイア,Celestia,Celestia,Celestia,Celestia,셀레스티아,
Chronosia,柯罗诺西亚,Chronosia,柯羅諾西亞,Хроносия,Chronosia,Chronosia,Chronosia,クロノシア,Chronosia,Chronosia,Chronosia,Chronosia,크로노시아,
Aethoros,埃托罗斯,Aethoros,埃托羅斯,Эторос,Aethoros,Aethoros,Aethoros,エトロス,Aethoros,Aethoros,Aethoros,Aethoros,에토로스,
Phantasos,范塔索斯,Phantasos,范塔索斯,Фантасос,Phantasos,Phantasos,Phantasos,ファンタソス,Phantasos,Phantasos,Phantasos,Phantasos,판타소스,
Mythicos,米西科斯,Mythicos,米西科斯,Мификос,Mythicos,Mythicos,Mythicos,ミティコス,Mythicos,Mythicos,Mythicos,Mythicos,미티코스,
Eldoria,埃尔多里亚,Eldoria,埃爾多里亞,Элдория,Eldoria,Eldoria,Eldoria,エルドリア,Eldoria,Eldoria,Eldoria,Eldoria,엘도리아,
Novaria,诺瓦里亚,Novaria,諾瓦里亞,Новариа,Novaria,Novaria,Novaria,ノヴァリア,Novaria,Novaria,Novaria,Novaria,노바리아,
Astorion,阿斯托里恩,Astorion,阿斯托里恩,Асторион,Astorion,Astorion,Astorion,アストリオン,Astorion,Astorion,Astorion,Astorion,아스토리온,
Arcadios,阿卡迪奥斯,Arcadios,阿卡迪奧斯,Аркадиос,Arcadios,Arcadios,Arcadios,アルカディオス,Arcadios,Arcadios,Arcadios,Arcadios,아카디오스,
Avalonia,阿瓦隆尼亚,Avalonia,阿瓦隆尼亞,Авалония,Avalonia,Avalonia,Avalonia,アヴァロニア,Avalonia,Avalonia,Avalonia,Avalonia,아발로니아,
Elysios,埃利西奥斯,Elysios,埃利西奧斯,Элисиос,Elysios,Elysios,Elysios,エリシオス,Elysios,Elysios,Elysios,Elysios,엘리시오스,
Olympios,奥林匹奥斯,Olympios,奧林匹奧斯,Олимпиос,Olympios,Olympios,Olympios,オリンピオス,Olympios,Olympios,Olympios,Olympios,올림피오스,
Utopos,乌托波斯,Utopos,烏托波斯,Утопос,Utopos,Utopos,Utopos,ユートポス,Utopos,Utopos,Utopos,Utopos,유토포스,
Zephyros,泽菲罗斯,Zephyros,澤菲羅斯,Зефирос,Zephyros,Zephyros,Zephyros,ゼフィロス,Zephyros,Zephyros,Zephyros,Zephyros,제피로스,
Harmonius,哈莫尼乌斯,Harmonius,哈莫尼烏斯,Гармониус,Harmonius,Harmonius,Harmonius,ハルモニウス,Harmonius,Harmonius,Harmonius,Harmonius,하모니우스,
Mystiquos,米斯提阔斯,Mystiquos,米斯提闊斯,Мистикос,Mystiquos,Mystiquos,Mystiquos,ミスティクオス,Mystiquos,Mystiquos,Mystiquos,Mystiquos,미스티코스,
Solarios,索拉里奥斯,Solarios,索拉里奧斯,Солариос,Solarios,Solarios,Solarios,ソラリオス,Solarios,Solarios,Solarios,Solarios,솔라리오스,
Lunarios,卢纳里奥斯,Lunarios,盧納里奧斯,Лунариос,Lunarios,Lunarios,Lunarios,ルナリオス,Lunarios,Lunarios,Lunarios,Lunarios,루나리오스,
Aurelios,奥雷利奥斯,Aurelios,奧雷利奧斯,Аурелиос,Aurelios,Aurelios,Aurelios,アウレリオス,Aurelios,Aurelios,Aurelios,Aurelios,아우렐리오스,
Orionos,奥里昂诺斯,Orionos,奧里昂諾斯,Орионос,Orionos,Orionos,Orionos,オリオノス,Orionos,Orionos,Orionos,Orionos,오리오노스,
Persephos,珀耳塞福斯,Persephos,珀耳塞福斯,Персефос,Persephos,Persephos,Persephos,ペルセフォス,Persephos,Persephos,Persephos,Persephos,페르세포스,
Andromedos,安德洛墨多斯,Andromedos,安德洛墨多斯,Андромедос,Andromedos,Andromedos,Andromedos,アンドロメドス,Andromedos,Andromedos,Andromedos,Andromedos,안드로메도스,
Aquarios,阿夸里奥斯,Aquarios,阿夸里奧斯,Аквариос,Aquarios,Aquarios,Aquarios,アクアリオス,Aquarios,Aquarios,Aquarios,Aquarios,아쿠아리오스,
Cygnos,席格诺斯,Cygnos,席格諾斯,Сигнос,Cygnos,Cygnos,Cygnos,シグノス,Cygnos,Cygnos,Cygnos,Cygnos,시그노스,
Lyros,莱罗斯,Lyros,萊羅斯,Лирос,Lyros,Lyros,Lyros,リロス,Lyros,Lyros,Lyros,Lyros,리로스,
Pegasos,佩伽索斯,Pegasos,佩伽索斯,Пегасос,Pegasos,Pegasos,Pegasos,ペガソス,Pegasos,Pegasos,Pegasos,Pegasos,페가소스,
Hydros,海德罗斯,Hydros,海德羅斯,Гидрос,Hydros,Hydros,Hydros,ハイドロス,Hydros,Hydros,Hydros,Hydros,하이드로스,
Dracos,德拉科斯,Dracos,德拉科斯,Дракос,Dracos,Dracos,Dracos,ドラコス,Dracos,Dracos,Dracos,Dracos,드라코스,
Phoenixia,菲尼克西亚,Phoenixia,菲尼克西亞,Фениксия,Phoenixia,Phoenixia,Phoenixia,フェニキシア,Phoenixia,Phoenixia,Phoenixia,Phoenixia,페닉시아,
Centauros,森陶罗斯,Centauros,森陶羅斯,Кентаурос,Centauros,Centauros,Centauros,ケンタウロス,Centauros,Centauros,Centauros,Centauros,켄타우로스,
Herculos,赫尔库洛斯,Herculos,赫爾庫洛斯,Геркулос,Herculos,Herculos,Herculos,ヘルクロス,Herculos,Herculos,Herculos,Herculos,헤르클로스,
Geminos,杰米诺斯,Geminos,傑米諾斯,Геминос,Geminos,Geminos,Geminos,ジェミノス,Geminos,Geminos,Geminos,Geminos,제미노스,
Tauros,陶罗斯,Tauros,陶羅斯,Таурос,Tauros,Tauros,Tauros,タウロス,Tauros,Tauros,Tauros,Tauros,타우로스,
Arios,阿里奥斯,Arios,阿里奧斯,Ариос,Arios,Arios,Arios,アリオス,Arios,Arios,Arios,Arios,아리오스,
Leos,莱奥斯,Leos,萊奧斯,Леос,Leos,Leos,Leos,レオス,Leos,Leos,Leos,Leos,레오스,
Scorpios,斯科皮奥斯,Scorpios,斯科皮奧斯,Скорпиос,Scorpios,Scorpios,Scorpios,スコルピオス,Scorpios,Scorpios,Scorpios,Scorpios,스콜피오스,
Aldermar,阿尔德玛,Aldermar,阿爾德瑪,Альдермар,Aldermar,Aldermar,Aldermar,アルダーマール,Aldermar,Aldermar,Aldermar,Aldermar,알더마르,
Berengaria,贝伦加里亚,Berengaria,貝倫加里亞,Берегария,Berengaria,Berengaria,Berengaria,ベレンガリア,Berengaria,Berengaria,Berengaria,Berengaria,베렌가리아,
Caledonus,卡勒多纳斯,Caledonus,卡勒多納斯,Каледонус,Caledonus,Caledonus,Caledonus,カレドヌス,Caledonus,Caledonus,Caledonus,Caledonus,칼레도누스,
Danerige,达纳里格,Danerige,達納里格,Данериге,Danerige,Danerige,Danerige,ダネリッゲ,Danerige,Danerige,Danerige,Danerige,다네리게,
Eboracum,埃博拉谷,Eboracum,埃博拉谷,Эборакум,Eboracum,Eboracum,Eboracum,エボラクム,Eboracum,Eboracum,Eboracum,Eboracum,에보라쿰,
Franconia,法兰克尼亚,Franconia,法蘭克尼亞,Франкония,Franconia,Franconia,Franconia,フランコニア,Franconia,Franconia,Franconia,Franconia,프랑코니아,
Gisborn,吉斯伯恩,Gisborn,吉斯伯恩,Гисборн,Gisborn,Gisborn,Gisborn,ギスボーン,Gisborn,Gisborn,Gisborn,Gisborn,기스본,
Hainault,海诺特,Hainault,海諾特,Эно,Hainault,Hainault,Hainault,ヘノール,Hainault,Hainault,Hainault,Hainault,에노,
Ivrea,伊夫雷亚,Ivrea,伊夫雷亞,Ивреа,Ivrea,Ivrea,Ivrea,イヴレア,Ivrea,Ivrea,Ivrea,Ivrea,이브레아,
Jülich,于利希,Jülich,於利希,Юлих,Jülich,Jülich,Jülich,ユリッヒ,Jülich,Jülich,Jülich,Jülich,율리히,
Kesteven,凯斯特文,Kesteven,凱斯特文,Кестевен,Kesteven,Kesteven,Kesteven,ケステヴェン,Kesteven,Kesteven,Kesteven,Kesteven,케스테벤,
Lüneburg,吕讷堡,Lüneburg,呂訥堡,Люнебург,Lüneburg,Lüneburg,Lüneburg,リューネブルク,Lüneburg,Lüneburg,Lüneburg,Lüneburg,뤼네부르크,
Merania,梅拉尼亚,Merania,梅拉尼亞,Мерания,Merania,Merania,Merania,メラニア,Merania,Merania,Merania,Merania,메라니아,
Narbonne,纳博讷,Narbonne,納博訥,Нарбонна,Narbonne,Narbonne,Narbonne,ナルボンヌ,Narbonne,Narbonne,Narbonne,Narbonne,나르본,
Orleania,奥尔良尼亚,Orleania,奧爾良尼亞,Орлеания,Orleania,Orleania,Orleania,オールレアニア,Orleania,Orleania,Orleania,Orleania,올레아니아,
Poitiers,普瓦捷,Poitiers,普瓦捷,Пуатье,Poitiers,Poitiers,Poitiers,プワティエ,Poitiers,Poitiers,Poitiers,Poitiers,푸아티에,
Quateria,夸特里亚,Quateria,夸特里亞,Кватерия,Quateria,Quateria,Quateria,クアタリア,Quateria,Quateria,Quateria,Quateria,쿠아타리아,
Rethelia,雷泰利亚,Rethelia,雷泰利亞,Ретелия,Rethelia,Rethelia,Rethelia,レテルィア,Rethelia,Rethelia,Rethelia,Rethelia,레텔리아,
Salistria,萨利斯特里亚,Salistria,薩利斯特里亞,Салистрия,Salistria,Salistria,Salistria,サリストリア,Salistria,Salistria,Salistria,Salistria,살리스트리아,
Tolbiacum,托尔比亚库姆,Tolbiacum,托爾比亞庫姆,Тольбиакум,Tolbiacum,Tolbiacum,Tolbiacum,トルビアクム,Tolbiacum,Tolbiacum,Tolbiacum,Tolbiacum,톨비아쿰,
Umbria,翁布里亚,Umbria,翁布里亞,Умбрия,Umbria,Umbria,Umbria,ウンブリア,Umbria,Umbria,Umbria,Umbria,움브리아,
Valonia,瓦隆尼亚,Valonia,瓦隆尼亞,Валония,Valonia,Valonia,Valonia,バロニア,Valonia,Valonia,Valonia,Valonia,발로니아,
Wittelsbach,维特尔斯巴赫,Wittelsbach,維特爾斯巴赫,Виттельсбах,Wittelsbach,Wittelsbach,Wittelsbach,ヴィッテルスバッハ,Wittelsbach,Wittelsbach,Wittelsbach,Wittelsbach,비텔스바흐,
Xantenia,克桑泰尼亚,Xantenia,克桑泰尼亞,Ксантения,Xantenia,Xantenia,Xantenia,ザンテンニア,Xantenia,Xantenia,Xantenia,Xantenia,잔테니아,
Ypregaria,伊普雷加里亚,Ypregaria,伊普雷加里亞,Ипрегария,Ypregaria,Ypregaria,Ypregaria,イプリーガリア,Ypregaria,Ypregaria,Ypregaria,Ypregaria,이프레가리아,
Zealandia,泽兰迪亚,Zealandia,澤蘭迪亞,Зеаландия,Zealandia,Zealandia,Zealandia,ゼーランディア,Zealandia,Zealandia,Zealandia,Zealandia,질란디아,
Ancastria,安卡斯特里亚,Ancastria,安卡斯特里亞,Анкастрия,Ancastria,Ancastria,Ancastria,アンカストリア,Ancastria,Ancastria,Ancastria,Ancastria,안카스트리아,
Bohemia,波希米亚,Bohemia,波希米亞,Богемия,Bohemia,Bohemia,Bohemia,ボヘミア,Bohemia,Bohemia,Bohemia,Bohemia,보헤미아,
Carinthia,卡林西亚,Carinthia,卡林西亞,Каринтия,Carinthia,Carinthia,Carinthia,カリンシア,Carinthia,Carinthia,Carinthia,Carinthia,카린시아,
Drenthenia,德伦特尼亚,Drenthenia,德倫特尼亞,Дрентения,Drenthenia,Drenthenia,Drenthenia,ドレンテンニア,Drenthenia,Drenthenia,Drenthenia,Drenthenia,드렌텐니아,
Eudosia,尤多西亚,Eudosia,尤多西亞,Еудозия,Eudosia,Eudosia,Eudosia,エウドシア,Eudosia,Eudosia,Eudosia,Eudosia,에우도시아,
Flandrica,弗兰德里卡,Flandrica,弗蘭德里卡,Фландрика,Flandrica,Flandrica,Flandrica,フランドリカ,Flandrica,Flandrica,Flandrica,Flandrica,플란드리카,
Gallovidia,加洛维迪亚,Gallovidia,加洛維迪亞,Галловидия,Gallovidia,Gallovidia,Gallovidia,ガロビディア,Gallovidia,Gallovidia,Gallovidia,Gallovidia,갈로비디아,
Helvetias,黑尔维提亚斯,Helvetias,黑爾維提亞斯,Гельветияс,Helvetias,Helvetias,Helvetias,ヘルヴェティアス,Helvetias,Helvetias,Helvetias,Helvetias,헬베티아스,
Illyrios,伊利里奥斯,Illyrios,伊利里奧斯,Иллириос,Illyrios,Illyrios,Illyrios,イリュリオス,Illyrios,Illyrios,Illyrios,Illyrios,일리리오스,
Jutlandia,尤特兰迪亚,Jutlandia,尤特蘭迪亞,Ютландия,Jutlandia,Jutlandia,Jutlandia,ユトランディア,Jutlandia,Jutlandia,Jutlandia,Jutlandia,윗란디아,
Karnburg,卡恩堡,Karnburg,卡恩堡,Карнбург,Karnburg,Karnburg,Karnburg,カーンブルク,Karnburg,Karnburg,Karnburg,Karnburg,카른부르크,
Limburgia,林堡嘉,Limburgia,林堡嘉,Лимбургиа,Limburgia,Limburgia,Limburgia,リンブルギア,Limburgia,Limburgia,Limburgia,Limburgia,림부르기아,
Moravia,摩拉维亚,Moravia,摩拉維亞,Моравия,Moravia,Moravia,Moravia,モラヴィア,Moravia,Moravia,Moravia,Moravia,모라비아,
Norfolkia,诺福基亚,Norfolkia,諾福基亞,Норфолкия,Norfolkia,Norfolkia,Norfolkia,ノーフォークイア,Norfolkia,Norfolkia,Norfolkia,Norfolkia,노퍽이아,
Oxfordshire,牛津郡,Oxfordshire,牛津郡,Оксфордшир,Oxfordshire,Oxfordshire,Oxfordshire,オックスフォードシャー,Oxfordshire,Oxfordshire,Oxfordshire,Oxfordshire,옥스퍼드셔,
Piedmontia,皮埃蒙特,Piedmontia,皮埃蒙特,Пьемонт,Piedmontia,Piedmontia,Piedmontia,ピエモンティア,Piedmontia,Piedmontia,Piedmontia,Piedmontia,피에몬티아,
Queensbury,昆斯伯里,Queensbury,昆斯伯里,Куинсбери,Queensbury,Queensbury,Queensbury,クイーンズベリー,Queensbury,Queensbury,Queensbury,Queensbury,퀸스베리,
Rhaeticum,雷蒂亚,Rhaeticum,雷蒂亞,Ретий,Rhaeticum,Rhaeticum,Rhaeticum,ラエティクム,Rhaeticum,Rhaeticum,Rhaeticum,Rhaeticum,레티쿰,
Savoyen,萨伏依,Savoyen,薩伏依,Савойя,Savoyen,Savoyen,Savoyen,サヴォイエン,Savoyen,Savoyen,Savoyen,Savoyen,사보이엔,
Thuringia,图林根,Thuringia,圖林根,Тюрингия,Thuringia,Thuringia,Thuringia,チューリンゲン,Thuringia,Thuringia,Thuringia,Thuringia,튀링겐,
Utraria,乌特拉里亚,Utraria,烏特拉里亞,Утрария,Utraria,Utraria,Utraria,ウトラリア,Utraria,Utraria,Utraria,Utraria,우트라리아,
Vascony,巴斯克尼,Vascony,巴斯克尼,Васкония,Vascony,Vascony,Vascony,ヴァスコニー,Vascony,Vascony,Vascony,Vascony,바스코니,
Westfold,西福尔德,Westfold,西福爾德,Вестфолд,Westfold,Westfold,Westfold,ウェストフォルド,Westfold,Westfold,Westfold,Westfold,웨스트폴드,
Xaintrailles,桑特拉耶,Xaintrailles,桑特拉耶,Сантре,Xaintrailles,Xaintrailles,Xaintrailles,ザントレール,Xaintrailles,Xaintrailles,Xaintrailles,Xaintrailles,생트레유,
Yorklandia,约克兰迪亚,Yorklandia,約克蘭迪亞,Йоркландия,Yorklandia,Yorklandia,Yorklandia,ヨークランディア,Yorklandia,Yorklandia,Yorklandia,Yorklandia,요크랜디아,
Zaragoza,萨拉戈萨,Zaragoza,薩拉戈薩,Сарагоса,Zaragoza,Zaragoza,Zaragoza,サラゴサ,Zaragoza,Zaragoza,Zaragoza,Zaragoza,사라고사,
Arborania,阿尔博拉尼亚,Arborania,阿爾博拉尼亞,Арборания,Arborania,Arborania,Arborania,アルボラニア,Arborania,Arborania,Arborania,Arborania,아르보라니아,
Bathonia,巴索尼亚,Bathonia,巴索尼亞,Батония,Bathonia,Bathonia,Bathonia,バソニア,Bathonia,Bathonia,Bathonia,Bathonia,바소니아,
Cantabria,坎塔布里亚,Cantabria,坎塔布里亞,Кантабрия,Cantabria,Cantabria,Cantabria,カンタブリア,Cantabria,Cantabria,Cantabria,Cantabria,칸타브리아,
Dalecarlia,达勒卡利亚,Dalecarlia,達勒卡利亞,Далекарлия,Dalecarlia,Dalecarlia,Dalecarlia,ダレカルリア,Dalecarlia,Dalecarlia,Dalecarlia,Dalecarlia,달레카를리아,
Essexia,埃塞克西亚,Essexia,埃塞克西亞,Эссексия,Essexia,Essexia,Essexia,エセクシア,Essexia,Essexia,Essexia,Essexia,에섹시아,
Frieslandia,弗里斯兰迪亚,Frieslandia,弗里斯蘭迪亞,Фрисландия,Frieslandia,Frieslandia,Frieslandia,フリースラントイア,Frieslandia,Frieslandia,Frieslandia,Frieslandia,프리슬란디아,
Glevum,格莱文,Glevum,格萊文,Глевум,Glevum,Glevum,Glevum,グレヴム,Glevum,Glevum,Glevum,Glevum,글레붐,
Hessonia,黑森尼亚,Hessonia,黑森尼亞,Гессония,Hessonia,Hessonia,Hessonia,ヘッソニア,Hessonia,Hessonia,Hessonia,Hessonia,헤소니아,
Icenia,艾西尼亚,Icenia,艾西尼亞,Ицения,Icenia,Icenia,Icenia,アイセニア,Icenia,Icenia,Icenia,Icenia,아이세니아,
Jorvikia,约维基亚,Jorvikia,約維基亞,Йорвикия,Jorvikia,Jorvikia,Jorvikia,ヨルヴィキア,Jorvikia,Jorvikia,Jorvikia,Jorvikia,요르비키아,
Kernowek,科诺沃克,Kernowek,科諾沃克,Керновек,Kernowek,Kernowek,Kernowek,カーノウェク,Kernowek,Kernowek,Kernowek,Kernowek,케르노웩,
Leonia,利昂尼亚,Leonia,利昂尼亞,Леония,Leonia,Leonia,Leonia,レオニア,Leonia,Leonia,Leonia,Leonia,레오니아,
Mercania,默卡尼亚,Mercania,默卡尼亞,Меркания,Mercania,Mercania,Mercania,メルカニア,Mercania,Mercania,Mercania,Mercania,메르카니아,
Neustrasia,纽斯特拉西亚,Neustrasia,紐斯特拉西亞,Неустразия,Neustrasia,Neustrasia,Neustrasia,ノイストラジア,Neustrasia,Neustrasia,Neustrasia,Neustrasia,노이스트라시아,
Osnabrück,奥斯纳布吕克,Osnabrück,奧斯納布呂克,Оснабрюк,Osnabrück,Osnabrück,Osnabrück,オスナブリュック,Osnabrück,Osnabrück,Osnabrück,Osnabrück,오스나브뤽,
Pomerelia,波美雷利亚,Pomerelia,波美雷利亞,Померания,Pomerelia,Pomerelia,Pomerelia,ポメリリア,Pomerelia,Pomerelia,Pomerelia,Pomerelia,포메렐리아,
Quitania,奎塔尼亚,Quitania,奎塔尼亞,Квитания,Quitania,Quitania,Quitania,キタニア,Quitania,Quitania,Quitania,Quitania,키타니아,
Rugenia,鲁根尼亚,Rugenia,魯根尼亞,Ругения,Rugenia,Rugenia,Rugenia,ルゲニア,Rugenia,Rugenia,Rugenia,Rugenia,루게니아,
Swabia,施瓦本,Swabia,施瓦本,Швабия,Swabia,Swabia,Swabia,スヴァビア,Swabia,Swabia,Swabia,Swabia,슈바비아,
Tolosania,图卢兹尼亚,Tolosania,圖盧茲尼亞,Толосания,Tolosania,Tolosania,Tolosania,トロサニア,Tolosania,Tolosania,Tolosania,Tolosania,톨로사니아,
Umberlania,翁贝兰尼亚,Umberlania,翁貝蘭尼亞,Умберлания,Umberlania,Umberlania,Umberlania,アンバランニア,Umberlania,Umberlania,Umberlania,Umberlania,움베르라니아,
Veletria,韦莱特里亚,Veletria,韋萊特里亞,Велетрия,Veletria,Veletria,Veletria,ヴェレトリア,Veletria,Veletria,Veletria,Veletria,벨레트리아,
Westersex,西萨克斯,Westersex,西薩克斯,Вестерсекс,Westersex,Westersex,Westersex,ウェスターセックス,Westersex,Westersex,Westersex,Westersex,웨스터섹스,
Xantinium,克桑提尼亚,Xantinium,克桑提尼亞,Ксантинум,Xantinium,Xantinium,Xantinium,ザンティニウム,Xantinium,Xantinium,Xantinium,Xantinium,잔티니움,
Zutphania,祖特番尼亚,Zutphania,祖特番尼亞,Зутфания,Zutphania,Zutphania,Zutphania,ズトファニア,Zutphania,Zutphania,Zutphania,Zutphania,주트파니아,
Angoulême,昂古莱姆,Angoulême,昂古萊姆,Ангулем,Angoulême,Angoulême,Angoulême,アンゴールム,Angoulême,Angoulême,Angoulême,Angoulême,앙굴렘,
Bischofsheim,比绍夫斯海姆,Bischofsheim,比紹夫斯海姆,Бишофсхайм,Bischofsheim,Bischofsheim,Bischofsheim,ビショフスハイム,Bischofsheim,Bischofsheim,Bischofsheim,Bischofsheim,비쇼프스하임,
Carcassis,卡尔卡西斯,Carcassis,卡爾卡西斯,Каркассис,Carcassis,Carcassis,Carcassis,カルカッシス,Carcassis,Carcassis,Carcassis,Carcassis,카르카시스,
Dithmarschen,迪特马申,Dithmarschen,迪特馬申,Дитмаршен,Dithmarschen,Dithmarschen,Dithmarschen,ディスマルシュ,Dithmarschen,Dithmarschen,Dithmarschen,Dithmarschen,디트마르셴,
Eastphalia,东法利亚,Eastphalia,東法利亞,Восточная Фалия,Eastphalia,Eastphalia,Eastphalia,イーストファリア,Eastphalia,Eastphalia,Eastphalia,Eastphalia,이스트팔리아,
Forezium,福雷兹,Forezium,福雷茲,Форез,Forezium,Forezium,Forezium,フォレジウム,Forezium,Forezium,Forezium,Forezium,포레지움,
Gascogne,加斯科涅,Gascogne,加斯科涅,Гасконь,Gascogne,Gascogne,Gascogne,ガスコーニュ,Gascogne,Gascogne,Gascogne,Gascogne,가스코뉴,
Haguenau,阿格诺,Haguenau,阿格諾,Агено,Haguenau,Haguenau,Haguenau,ハーゲノー,Haguenau,Haguenau,Haguenau,Haguenau,하게노,
