Key,Chinese,English,TraditionalChinese,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,
晋鲁,晋鲁,Jinlu,晋鲁,,,,,晋魯,,,,,,
晋南,晋南,Jinnan,晋南,,,,,晋南,,,,,,
荆,荆,Jing,荆,,,,,荊,,,,,,
桔,桔,Ju,桔,,,,,桔,,,,,,
莒,莒,Ju,莒,,,,,莒,,,,,,
昆,昆,Kun,昆,,,,,昆,,,,,,
莱,莱,Lai,莱,,,,,莱,,,,,,
岚,岚,Lan,岚,,,,,嵐,,,,,,
黎,黎,Li,黎,,,,,黎,,,,,,
梁,梁,Liang,梁,,,,,梁,,,,,,
蓼,蓼,Liao,蓼,,,,,蓼,,,,,,
令支,令支,lingzhi,令支,,,,,令支,,,,,,
琉璃,琉璃,Liuli,琉璃,,,,,琉璃,,,,,,
楼兰,楼兰,Loulan,楼兰,,,,,楼蘭,,,,,,
鲁,鲁,Lu,鲁,,,,,魯,,,,,,
鲁宋,鲁宋,Lusong,鲁宋,,,,,魯宋,,,,,,
鲁卫,鲁卫,Luwei,鲁卫,,,,,魯衛,,,,,,
罗,罗,Luo,罗,,,,,羅,,,,,,
芈,芈,Mi,芈,,,,,芈,,,,,,
蔑,蔑,Mie,蔑,,,,,蔑,,,,,,
莫,莫,Mo,莫,,,,,莫,,,,,,
牟,牟,Mu,牟,,,,,牟,,,,,,
南垂,南垂,Nanchui,南垂,,,,,南垂,,,,,,
南晋,南晋,Nanjin,南晋,,,,,南晋,,,,,,
南宋,南宋,Nansong,南宋,,,,,南宋,,,,,,
南唐,南唐,Nantang,南唐,,,,,南唐,,,,,,
彭,彭,Peng,彭,,,,,彭,,,,,,
邳,邳,pi,邳,,,,,邳,,,,,,
齐,齐,Qi,齐,,,,,斉,,,,,,
齐卫,齐卫,Qiwei,齐卫,,,,,斉衛,,,,,,
齐郑,齐郑,Qizheng,齐郑,,,,,斉鄭,,,,,,
杞,杞,Qi,杞,,,,,杞,,,,,,
前唐,前唐,Qiantang,前唐,,,,,前唐,,,,,,
秦晋,秦晋,Qinjin,秦晋,,,,,秦晋,,,,,,
清,清,Qing,清,,,,,清,,,,,,
渠呈,渠呈,Qucheng,渠呈,,,,,渠呈,,,,,,
戎卢,戎卢,Ronglu,戎卢,,,,,戎盧,,,,,,
荣阳,荣阳,Rongyang,荣阳,,,,,荣陽,,,,,,
芮,芮,Rui,芮,,,,,芮,,,,,,
上庸,上庸,Shangyong,上庸,,,,,上庸,,,,,,
沈,沈,Shen,沈,,,,,沈,,,,,,
殊胤,殊胤,Shuyin,殊胤,,,,,殊胤,,,,,,
疏勒,疏勒,Shulei,疏勒,,,,,疏勒,,,,,,
蜀,蜀,Shu,蜀,,,,,蜀,,,,,,
宋,宋,Song,宋,,,,,宋,,,,,,
宋卫,宋卫,Songwei,宋卫,,,,,宋衛,,,,,,
肃慎,肃慎,Sushn,肃慎,,,,,粛慎,,,,,,
宿,宿,Su,宿,,,,,宿,,,,,,
谭,谭,Tan,谭,,,,,譚,,,,,,
滕,滕,Teng,滕,,,,,滕,,,,,,
田,田,Tian,田,,,,,田,,,,,,
土方,土方,Tufang,土方,,,,,土方,,,,,,
卫,卫,Wei,卫,,,,,衛,,,,,,
魏,魏,Wei,魏,,,,,魏,,,,,,
魏赵,魏赵,Weizhao,魏赵,,,,,魏趙,,,,,,
温,温,Wen,温,,,,,温,,,,,,
温宿,温宿,Wensu,温宿,,,,,温宿,,,,,,
邬,邬,Wu,邬,,,,,鄔,,,,,,
吴,吴,Wu,吴,,,,,呉,,,,,,
吴越,吴越,Wuyue,吴越,,,,,呉越,,,,,,
吴郑,吴郑,Wuzheng,吴郑,,,,,呉鄭,,,,,,
西秦,西秦,Xiqin,西秦,,,,,西秦,,,,,,
西唐,西唐,Xitang,西唐,,,,,西唐,,,,,,
西魏,西魏,Xiwei,西魏,,,,,西魏,,,,,,
息,息,Xi,息,,,,,息,,,,,,
下蔡,下蔡,Xiacai,下蔡,,,,,下蔡,,,,,,
下梁,下梁,Xialiang,下梁,,,,,下梁,,,,,,
下危,下危,Xiawei,下危,,,,,下危,,,,,,
絴方,絴方,Xiangfang,絴方,,,,,絴方,,,,,,
萧,萧,Xiao,萧,,,,,蕭,,,,,,
小邾,小邾,Xiaozhu,小邾,,,,,小邾,,,,,,
谢,谢,Xie,谢,,,,,謝,,,,,,
邢,邢,Xing,邢,,,,,邢,,,,,,
须句,须句,Xuju,须句,,,,,須句,,,,,,
徐,徐,Xu,徐,,,,,徐,,,,,,
许,许,Xu,许,,,,,許,,,,,,
轩辕,轩辕,Xuyuan,轩辕,,,,,軒轅,,,,,,
薛,薛,Xue,薛,,,,,薛,,,,,,
旬,旬,Xun,旬,,,,,旬,,,,,,
荀,荀,Xun,荀,,,,,荀,,,,,,
涯,涯,Ya,涯,,,,,涯,,,,,,
鄢,鄢,Yan,鄢,,,,,鄢,,,,,,
燕,燕,Yan,燕,,,,,燕,,,,,,
燕东,燕东,Yandong,燕东,,,,,燕東,,,,,,
燕齐,燕齐,Yanqi,燕齐,,,,,燕斉,,,,,,
秧穗,秧穗,Yangsui,秧穗,,,,,秧穂,,,,,,
阳夏,阳夏,Yangxia,阳夏,,,,,陽夏,,,,,,
杨,杨,Yang,杨,,,,,楊,,,,,,
昜,昜,Yang,昜,,,,,易,,,,,,
伊川,伊川,Yichuan,伊川,,,,,伊川,,,,,,
奕,奕,Yi,奕,,,,,奕,,,,,,
殷,殷,Yin,殷,,,,,殷,,,,,,
寅,寅,Ying,寅,,,,,寅,,,,,,
应,应,Ying,应,,,,,応,,,,,,
嬴,嬴,Ying,嬴,,,,,嬴,,,,,,
邘,邘,Xian,邘,,,,,邘,,,,,,
虞,虞,Yu,虞,,,,,虞,,,,,,
鄅,鄅,Yu,鄅,,,,,鄅,,,,,,
元,元,Yuan,元,,,,,元,,,,,,
原,原,Yuan,原,,,,,原,,,,,,
越,越,Yue,越,,,,,越,,,,,,
越楚,越楚,Yuechu,越楚,,,,,越楚,,,,,,
郧,郧,Yun,郧,,,,,鄖,,,,,,
鄫,鄫,Xian,鄫,,,,,鄫,,,,,,
赵,赵,Zhao,赵,,,,,趙,,,,,,
筝禾,筝禾,Zhenghe,筝禾,,,,,筝禾,,,,,,
郑,郑,Zheng,郑,,,,,鄭,,,,,,
沚方,沚方,Zhifang,沚方,,,,,沚方,,,,,,
周,周,Zhou,周,,,,,周,,,,,,
竹方,竹方,Zhufang,竹方,,,,,竹方,,,,,,
胙,胙,Zuo,胙,,,,,胙,,,,,,
大唐,大唐,Datang,大唐,,,,,大唐,,,,,,
,,,,,,,,,,,,,,
