Key,Chinese,TraditionalChinese,English,Russian,SpanishSpain,PortugueseBrazil,German,Japanese,French,Polish,SpanishLatinAmerica,PortuguesePortugal,Korean,Turkish
IsendrilFaithHolyBookName,神圣编年史,神聖編年史,The Divine Chronicle,Божественная Хроника,La Crónica Divina,A Crônica Divina,Die Göttliche Chronik,神聖な年代記,La Chronique Divine,Boska Kronika,La Crónica Divina,A Crônica Divina,신의 역사서,Tanrısal Tarih Kitabı
IsendrilFaithPractice1,日常祈祷,日常祈禱,Daily prayers,Ежедневные молитвы,Oraciones diarias,Orações diárias,Tägliche Gebete,日々の祈り,Prières quotidiennes,Codzienne modlitwy,Oraciones diarias,Orações diárias,일상 기도,Günlük Dua
IsendrilFaithPractice2,斋戒期,齋戒期,Fasting periods,Периоды поста,Períodos de ayuno,Períodos de jejum,Fastenzeiten,断食期間,Périodes de jeûne,Okresy postu,Períodos de ayuno,Períodos de jejum,금식 기간,Oruç Dönemi
IsendrilFaithPractice3,朝圣,朝聖,Pilgrimage to holy sites,Паломничество к святым местам,Peregrinación a lugares sagrados,Peregrinação a locais sagrados,Pilgerreise zu heiligen Stätten,聖地への巡礼,Pèlerinage vers des lieux saints,Pielgrzymka do świętych miejsc,Peregrinación a lugares sagrados,Peregrinação a locais sagrados,아침 예배,Sabah Ayini
SeraphicFaithName,赛拉芬信仰,賽拉芬信仰,Seraphic Faith,Серафимская Вера,Fe Seráfica,Fé Seráfica,Seraphischer Glaube,セラフィム信仰,Foi Séraphique,Wiara Seraficka,Fe Seráfica,Fé Seráfica,자연 신앙,Doğa İnancı
SeraphicFaithHolyBookName,自然法典,自然法典,The Nature's Codex,Кодекс Природы,El Códice de la Naturaleza,O Códice da Natureza,Der Kodex der Natur,自然の法典,Le Codex de la Nature,Kodeks Natury,El Códice de la Naturaleza,O Códice da Natureza,자연의 법칙,Doğa Kanunu
SeraphicFaithPractice1,季节性节日,季節性節日,Seasonal festivals,Сезонные фестивали,Festivales estacionales,Festivais sazonais,Jahreszeitliche Feste,季節の祭り,Festivals saisonniers,Festiwale sezonowe,Festivales estacionales,Festivais sazonais,계절 축제,Mevsimsel Bayramlar
SeraphicFaithPractice2,自然崇拜,自然崇拜,Nature worship,Поклонение природе,Adoración a la naturaleza,Adoração à natureza,Naturverehrung,自然崇拝,Culte de la nature,Kult natury,Adoración a la naturaleza,Adoração à natureza,자연 숭배,Doğaya Tapınma
SeraphicFaithPractice3,德鲁伊仪式,德魯伊儀式,Druidic rituals,Друидические ритуалы,Rituales druídicos,Rituais druídicos,Druidische Rituale,ドルイド儀式,Rituels druidiques,Rytuały druidyczne,Rituales druídicos,Rituais druídicos,드루이드 의식,Druid Ritüelleri
RivendellFaithName,瑞文戴尔信仰,瑞文戴爾信仰,Rivendell Faith,Вера Ривенделла,Fe de Rivendel,Fé de Rivendell,Rivendell-Glaube,リヴェンデル信仰,Foi de Fondcombe,Wiara Rivendell,Fe de Rivendel,Fé de Rivendell,영적 신앙,Ruhani İnanç
RivendellFaithHolyBookName,宁静之道,寧靜之道,The Path of Serenity,Путь Безмятежности,El Camino de la Serenidad,O Caminho da Serenidade,Der Pfad der Gelassenheit,静寂の道,La Voie de la Sérénité,Ścieżka Spokoju,El Camino de la Serenidad,O Caminho da Serenidade,평화의 길,Huzur Yolu
RivendellFaithPractice1,冥想,冥想,Meditation,Медитация,Meditación,Meditação,Meditation,瞑想,Méditation,Medytacja,Meditación,Meditação,명상,Meditasyon
RivendellFaithPractice2,自然静修,自然靜修,Nature retreats,Уединение на природе,Retiros en la naturaleza,Retiros na natureza,Naturzurückgezogenheit,自然への隠遁,Retraites dans la nature,Odosobnienia w naturze,Retiros en la naturaleza,Retiros na natureza,자연 속 은둔,Doğada İnziva
RivendellFaithPractice3,哲学讨论,哲學討論,Philosophical discussions,Философские дискуссии,Discusiones filosóficas,Discussões filosóficas,Philosophische Diskussionen,哲学的議論,Discussions philosophiques,Dyskusje filozoficzne,Discusiones filosóficas,Discussões filosóficas,철학적 토론,Felsefi Tartışma
